id,genres,title,keywords,overview,popularity,release_date,runtime,vote_average,vote_count,cast,crew,production_countries,production_companies
19995,Action Adventure Fantasy Science Fiction,Avatar,culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,2009-12-10,162.0,7.2,11800,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez Giovanni Ribisi,James Cameron Jon Landau,United States of America United Kingdom,Ingenious Film Partners Twentieth Century Fox Film Corporation Dune Entertainment Lightstorm Entertainment
285,Adventure Fantasy Action,Pirates of the Caribbean: At World's End,ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,2007-05-19,169.0,6.9,4500,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsgård Chow Yun-fat Bill Nighy,Gore Verbinski Jerry Bruckheimer Eric McLeod Chad Oman Peter Kohn Pat Sandston,United States of America,Walt Disney Pictures Jerry Bruckheimer Films Second Mate Productions
206647,Action Adventure Crime,Spectre,spy based on novel secret agent sequel mi6 british secret service united kingdom,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,2015-10-26,148.0,6.3,4466,Daniel Craig Christoph Waltz Léa Seydoux Ralph Fiennes Monica Bellucci Ben Whishaw,Sam Mendes Barbara Broccoli Michael G. Wilson,United Kingdom United States of America,Columbia Pictures Danjaq B24
49026,Action Crime Drama Thriller,The Dark Knight Rises,dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,2012-07-16,165.0,7.6,9106,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy Marion Cotillard,Charles Roven Christopher Nolan Emma Thomas,United States of America,Legendary Pictures Warner Bros. DC Entertainment Syncopy
49529,Action Adventure Science Fiction,John Carter,based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,2012-03-07,132.0,6.1,2124,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church Mark Strong,Andrew Stanton Colin Wilson Jim Morris Lindsey Collins,United States of America,Walt Disney Pictures
559,Fantasy Action Adventure,Spider-Man 3,dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,2007-05-01,139.0,5.9,3576,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace Bryce Dallas Howard,Sam Raimi Laura Ziskin Avi Arad Grant Curtis,United States of America,Columbia Pictures Laura Ziskin Productions Marvel Enterprises
38757,Animation Family,Tangled,hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,2010-11-24,100.0,7.4,3330,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey Jeffrey Tambor,Roy Conli Byron Howard Nathan Greno,United States of America,Walt Disney Pictures Walt Disney Animation Studios
99861,Action Adventure Science Fiction,Avengers: Age of Ultron,marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,2015-04-22,141.0,7.3,6767,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson Jeremy Renner,Kevin Feige Joss Whedon,United States of America,Marvel Studios Prime Focus Revolution Sun Studios
767,Adventure Fantasy Family,Harry Potter and the Half-Blood Prince,witch magic broom school of witchcraft wizardry apparition teenage crush werewolf,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,2009-07-07,153.0,7.4,5293,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon Jim Broadbent,David Heyman David Yates David Barron Tim Lewis,United Kingdom United States of America,Warner Bros. Heyday Films
209112,Action Adventure Fantasy,Batman v Superman: Dawn of Justice,dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,2016-03-23,151.0,5.7,7004,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg Diane Lane,Charles Roven Zack Snyder Deborah Snyder,United States of America,DC Comics Atlas Entertainment Warner Bros. DC Entertainment Cruel & Unusual Films RatPac-Dune Entertainment
